Day,DATE,SLEEP_SCORE,HOURS_OF_SLEEP,min,Minutes_of_sleep,REM_SLEEP,DEEP_SLEEP,HEART_RATE_BELOW_RESTING,SLEEP_TIME
Thursday,11/18/2021,87,7,14,434,0.24,0.19,0.98,10:42pm - 6:51am
Friday,11/19/2021,83,6,50,410,0.2,0.2,0.75,10:49pm - 6:37am
Saturday,11/20/2021,86,7,56,476,0.24,0.17,0.63,10:53pm - 7:59am
Sunday,11/21/2021,88,7,33,453,0.19,0.16,0.95,11:13pm - 8:07am
Monday,11/22/2021,87,8,21,501,0.14,0.19,0.94,10:12pm - 7:32am
Tuesday,11/23/2021,86,8,15,495,0.2,0.14,0.72,11:53pm - 9:15am
Wednesday,11/24/2021,77,6,26,386,0.18,0.13,0.55,11:36pm - 7:13am
Thursday,11/25/2021,81,6,51,411,0.2,0.17,0.51,12:50am - 8:27am
Friday,11/26/2021,87,8,45,525,0.22,0.19,0.56,12:53am - 10:35am
Saturday,11/27/2021,86,7,53,473,0.24,0.19,0.66,12:51am - 10:04am
Sunday,11/28/2021,83,6,13,373,0.22,0.22,0.81,12:02am - 6:59am
Monday,11/29/2021,89,7,44,464,0.18,0.21,0.81,11:00pm - 7:38am
Tuesday,11/30/2021,78,6,48,408,0.12,0.13,0.74,11:16pm - 7:06am
